ticker,ten,kij,sen,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,maximaze,interval,
GMKN,9,26,52,2010-12-27 07:00:00+00:00,2022-12-11 07:00:00+00:00,4367 days 00:00:00,15.486155827430778,14661.082000000002,15530.002000000002,46.61082000000002,120.78392792419612,3.152936605622303,9.193230137736453,0.34296287141557574,0.5311071584624418,0.24065784227176704,-13.101325000918917,-3.842075565248588,1385 days 00:00:00,164 days 00:00:00,24,41.66666666666667,22.678689971650922,-4.044260472343897,1.878738990655049,118 days 00:00:00,27 days 00:00:00,2.8743454414361462,2.0968067449298373,1.3675623709870286,Return [%],CANDLE_INTERVAL_DAY,
GMKN,5,26,71,2010-12-27 07:00:00+00:00,2022-12-11 07:00:00+00:00,4367 days 00:00:00,21.635544108177722,25402.614,27134.614,154.02614,120.78392792419612,7.857193998522383,11.008816698001068,0.7137183054332312,1.1926226895847545,0.6456392314765761,-12.169635324905814,-2.930674521786064,959 days 00:00:00,72 days 00:00:00,30,63.33333333333333,21.732013979414933,-2.5218338577130295,3.847087925387016,124 days 00:00:00,31 days 00:00:00,8.851149290686125,4.0716423921385445,2.8614999157614807,Return [%],CANDLE_INTERVAL_DAY,
GMKN,9,26,52,2010-12-27 07:00:00+00:00,2022-12-11 07:00:00+00:00,4367 days 00:00:00,15.486155827430778,14661.082000000002,15530.002000000002,46.61082000000002,120.78392792419612,3.152936605622303,9.193230137736453,0.34296287141557574,0.5311071584624418,0.24065784227176704,-13.101325000918917,-3.842075565248588,1385 days 00:00:00,164 days 00:00:00,24,41.66666666666667,22.678689971650922,-4.044260472343897,1.878738990655049,118 days 00:00:00,27 days 00:00:00,2.8743454414361462,2.0968067449298373,1.3675623709870286,Return [%],CANDLE_INTERVAL_DAY,
GMKN,5,26,71,2010-12-27 07:00:00+00:00,2022-12-11 07:00:00+00:00,4367 days 00:00:00,21.635544108177722,25402.614,27134.614,154.02614,120.78392792419612,7.857193998522383,11.008816698001068,0.7137183054332312,1.1926226895847545,0.6456392314765761,-12.169635324905814,-2.930674521786064,959 days 00:00:00,72 days 00:00:00,30,63.33333333333333,21.732013979414933,-2.5218338577130295,3.847087925387016,124 days 00:00:00,31 days 00:00:00,8.851149290686125,4.0716423921385445,2.8614999157614807,Return [%],CANDLE_INTERVAL_DAY,
GMKN,9,26,52,2010-12-27 07:00:00+00:00,2022-12-11 07:00:00+00:00,4367 days 00:00:00,15.486155827430778,14661.082000000002,15530.002000000002,46.61082000000002,120.78392792419612,3.152936605622303,9.193230137736453,0.34296287141557574,0.5311071584624418,0.24065784227176704,-13.101325000918917,-3.842075565248588,1385 days 00:00:00,164 days 00:00:00,24,41.66666666666667,22.678689971650922,-4.044260472343897,1.878738990655049,118 days 00:00:00,27 days 00:00:00,2.8743454414361462,2.0968067449298373,1.3675623709870286,Return [%],CANDLE_INTERVAL_DAY,
BABA,9,26,52,2014-09-19 07:00:00+00:00,2022-12-11 04:00:00+00:00,3004 days 21:00:00,22.413793103448278,21303.812960000003,25377.04676,113.03812960000003,-2.4603259133028037,9.29190482365614,15.277578105025786,0.60820535557265,1.0618225694465522,0.4583175125150562,-20.273946707089642,-3.7492141399697387,831 days 00:00:00,61 days 00:00:00,18,55.55555555555556,35.7582482658303,-6.532129855267755,4.2983753503083255,127 days 00:00:00,37 days 00:00:00,3.954411216018444,4.835998992318653,1.6022188658802532,Return [%],CANDLE_INTERVAL_DAY,
BABA,5,25,79,2014-09-19 07:00:00+00:00,2022-12-11 04:00:00+00:00,3004 days 21:00:00,23.345759552656105,33992.2928,37284.6728,239.922928,-2.4603259133028037,15.459032525825034,16.695264802731657,0.9259531195513382,1.7955119904697157,1.0704516398684432,-14.441598247002474,-3.0420370786983315,775 days 00:00:00,47 days 00:00:00,15,60.0,35.7582482658303,-3.934557564405794,8.534787059098093,127 days 00:00:00,47 days 00:00:00,12.198860853452667,9.262592960369336,2.7383715676409044,Return [%],CANDLE_INTERVAL_DAY,
VIPS,9,26,52,2012-03-23 07:00:00+00:00,2022-12-09 04:00:00+00:00,3912 days 21:00:00,27.245949926362297,282524.0539099999,405669.26451,2725.240539099999,2263.6363636363635,36.39011181741114,45.16704400188177,0.8056784016216566,2.0098227654378897,1.0313787074510863,-35.282977585744824,-6.4685556327693305,1408 days 00:00:00,62 days 00:00:00,28,60.71428571428571,152.60646652134776,-13.696961378103389,12.674600671103175,154 days 00:00:00,37 days 00:00:00,7.824524212432904,16.553073371938417,2.0548543075480654,Return [%],CANDLE_INTERVAL_DAY,
VIPS,9,27,60,2012-03-23 07:00:00+00:00,2022-12-09 04:00:00+00:00,3912 days 21:00:00,29.6759941089838,495694.4255599999,573085.3169,4856.944255599999,2263.6363636363635,43.7016739147023,51.17981166359007,0.8538850084474263,2.2159486810269944,1.2381411408915424,-35.29619723582906,-6.59043168929979,998 days 00:00:00,53 days 00:00:00,28,60.71428571428571,156.35004500802316,-16.695078610054626,14.959669598216262,155 days 00:00:00,41 days 00:00:00,8.853056847773953,18.95035145670663,2.6307697782209636,Return [%],CANDLE_INTERVAL_DAY,
TAL,9,26,52,2010-12-27 07:00:00+00:00,2022-12-09 04:00:00+00:00,4364 days 21:00:00,32.52491694352159,72165.74094580003,109871.80220580002,621.6574094580003,173.00712896953988,18.020078318783604,26.600671643941936,0.6774294483984398,1.2186566170777637,0.5250875892663891,-34.318233161747045,-5.06281320746729,651 days 00:00:00,58 days 00:00:00,44,61.36363636363637,37.58144371916827,-13.428503616548571,4.595126055135501,104 days 00:00:00,31 days 00:00:00,4.368433411916026,5.198646881760287,1.7816565585984439,Return [%],CANDLE_INTERVAL_DAY,
TAL,7,17,48,2010-12-27 07:00:00+00:00,2022-12-09 04:00:00+00:00,4364 days 21:00:00,31.528239202657808,162619.46310959992,192967.33700959996,1526.1946310959993,173.00712896953988,26.338414128475087,28.31384125214875,0.9302310447359823,1.8683382214460251,1.4656993207627649,-17.969861727689352,-4.139447449388461,651 days 00:00:00,44 days 00:00:00,57,61.40350877192983,39.91639333502126,-13.126818987722888,5.015123336999205,100 days 00:00:00,23 days 00:00:00,4.635701767732815,5.61573818064591,2.497287432127776,Return [%],CANDLE_INTERVAL_DAY,
EBS,9,26,52,2010-12-27 07:00:00+00:00,2022-12-09 04:00:00+00:00,4364 days 21:00:00,22.31816672201926,8738.441890800008,14814.202801600004,-12.61558109199992,-44.325228143551605,-1.1237678694438258,17.38201050376394,0.0,0.0,0.0,-51.94365092645348,-6.561072950184375,2843 days 00:00:00,178 days 00:00:00,43,44.18604651162791,22.820463152457403,-17.600696043809815,-0.3186304514544047,93 days 00:00:00,22 days 00:00:00,0.9936641469515607,-0.0174157248174928,-0.2457259342306369,Return [%],CANDLE_INTERVAL_DAY,
EBS,4,34,79,2010-12-27 07:00:00+00:00,2022-12-09 04:00:00+00:00,4364 days 21:00:00,27.034207904350716,26371.059490199994,31764.309490199994,163.71059490199994,-44.325228143551605,8.465686100977843,21.166721796746018,0.39995263235704653,0.6552430109445735,0.3796256962629329,-22.300087123487067,-5.699339122368365,848 days 00:00:00,89 days 00:00:00,34,58.82352941176471,32.78658318387579,-9.635809382707361,2.895658541481727,99 days 00:00:00,34 days 00:00:00,3.378696126902716,3.218361879788789,1.9805625714201363,Return [%],CANDLE_INTERVAL_DAY,
